Total tags hit: 800
Tag,Counts: 
SV_P5,44
Untagged,200
heartbeat,69
sv_P1,58
auth,61
sv_P9,60
email,52
sv_P2,47
sv_P6,65
SV_P3,45
sv_P4,49
data_transfer,46
sv_P8,54
control,55
sv_P7,51
payload,44


Total port protocol combinations hits: 800
Port,Protocol,Count: 
17032,xnet,1
44618,icmp,1
5029,egp,1
8053,tcp,1
59169,icmp,1
29927,dsr,1
27182,icmp,1
38056,xnet,1
53321,udp,1
59388,udp,1
8248,icmp,1
25087,igmp,1
3175,tcp,1
60383,icmp,1
59235,egp,1
28104,st,1
6869,udp,1
27983,tcp,1
44875,igmp,1
35279,xnet,1
50687,igmp,1
44244,xnet,1
36956,rdp,1
56386,st,1
9849,igmp,1
1509,egp,1
50263,st,1
20108,xnet,1
38790,udp,1
14067,igmp,1
7998,icmp,1
25193,tcp,1
36010,egp,1
50391,xnet,1
34211,igmp,1
11916,igmp,1
34724,icmp,1
51027,egp,1
23743,dsr,1
30046,dsr,1
10595,udp,1
6049,dsr,1
61768,icmp,1
32814,icmp,1
48050,xnet,1
8452,dsr,1
57845,egp,1
60370,rdp,1
9067,egp,1
47300,igmp,1
26768,xnet,1
9187,dsr,1
13073,rdp,1
65264,icmp,1
16371,icmp,1
53483,egp,1
47096,icmp,1
25836,udp,1
14440,st,1
27224,udp,1
53474,rdp,1
40612,tcp,1
58077,dsr,1
15365,rdp,1
38982,egp,1
11361,tcp,1
60954,igmp,1
36657,st,1
64575,icmp,1
59102,tcp,1
44725,xnet,1
37873,dsr,1
48268,st,1
5020,egp,1
46829,icmp,1
23776,rdp,1
6792,dsr,1
45281,xnet,1
43687,dsr,1
31485,egp,1
40739,igmp,1
17824,udp,1
49395,udp,1
59857,dsr,1
8771,dsr,1
36287,rdp,1
2568,st,1
55444,dsr,1
14927,icmp,1
26543,icmp,1
3995,rdp,1
2615,rdp,1
4245,tcp,1
49367,egp,1
8420,udp,1
361,udp,1
60914,dsr,1
6782,dsr,1
46557,egp,1
22395,xnet,1
46112,egp,1
50107,egp,1
21261,rdp,1
56777,dsr,1
43603,st,1
20471,rdp,1
65035,xnet,1
45753,rdp,1
18155,dsr,1
8716,icmp,1
23970,st,1
6976,xnet,1
23304,egp,1
50941,dsr,1
23972,tcp,1
63707,igmp,1
51869,xnet,1
11885,igmp,1
44930,egp,1
46305,rdp,1
49804,igmp,1
9610,xnet,1
56526,xnet,1
36546,udp,1
7425,icmp,1
47222,egp,1
25445,xnet,1
6045,igmp,1
63208,icmp,1
51545,igmp,1
61644,st,1
30797,igmp,1
58044,rdp,1
21870,tcp,1
8620,egp,1
63945,tcp,1
29424,tcp,1
55897,xnet,1
27880,igmp,1
63797,rdp,1
31701,st,1
26292,igmp,1
15170,igmp,1
8234,st,1
5864,st,1
25833,xnet,1
64800,icmp,1
9404,st,1
32773,udp,1
44601,xnet,1
57745,xnet,1
39275,egp,1
20689,xnet,1
19997,egp,1
30269,rdp,1
31186,igmp,1
55471,st,1
19530,egp,1
20998,rdp,1
33405,xnet,1
21482,dsr,1
44281,st,1
54731,tcp,1
45886,egp,1
10304,xnet,1
765,icmp,1
41773,st,1
33686,udp,1
41026,rdp,1
61745,icmp,1
10820,tcp,1
60002,xnet,1
30619,rdp,1
42268,icmp,1
9261,igmp,1
46132,st,1
19758,egp,1
579,udp,1
45282,igmp,1
17760,icmp,1
47613,st,1
12762,xnet,1
14174,egp,1
40289,egp,1
1902,igmp,1
42239,udp,1
4690,dsr,1
15222,egp,1
44788,egp,1
3780,dsr,1
36737,egp,1
26176,icmp,1
12651,udp,1
47369,icmp,1
29568,tcp,1
62638,dsr,1
6478,egp,1
23663,dsr,1
26129,icmp,1
49740,rdp,1
63131,rdp,1
34638,rdp,1
57479,egp,1
56613,xnet,1
16230,icmp,1
65114,xnet,1
14305,tcp,1
1893,xnet,1
49251,dsr,1
58142,xnet,1
44853,xnet,1
40852,dsr,1
58170,icmp,1
54357,xnet,1
33820,st,1
39710,udp,1
41782,rdp,1
33816,st,1
12953,tcp,1
12698,st,1
19006,tcp,1
48227,dsr,1
25332,rdp,1
41238,dsr,1
23866,st,1
60416,dsr,1
30595,rdp,1
39966,icmp,1
44273,st,1
12986,igmp,1
46024,xnet,1
65041,xnet,1
28063,icmp,1
22780,udp,1
45207,st,1
26921,egp,1
18744,dsr,1
30831,st,1
40717,egp,1
27823,udp,1
36788,rdp,1
42955,st,1
2189,dsr,1
16949,dsr,1
5205,egp,1
3146,udp,1
6512,rdp,1
33771,xnet,1
39286,xnet,1
63785,xnet,1
17525,icmp,1
34676,udp,1
59189,igmp,1
47387,egp,1
10973,udp,1
59160,xnet,1
19865,dsr,1
41764,st,1
41399,egp,1
12508,icmp,1
62120,icmp,1
19341,dsr,1
2001,rdp,1
50586,st,1
18674,egp,1
28426,rdp,1
739,igmp,1
43436,udp,1
22833,dsr,1
11404,rdp,1
52463,tcp,1
62007,dsr,1
39812,xnet,1
30611,dsr,1
49928,icmp,1
6597,xnet,1
58281,tcp,1
33062,st,1
52476,icmp,1
40447,st,1
21865,egp,1
61004,xnet,1
38733,xnet,1
48248,igmp,1
16967,egp,1
8689,icmp,1
41902,tcp,1
56455,egp,1
25876,igmp,1
49660,tcp,1
30964,igmp,1
20306,icmp,1
5843,udp,1
53448,igmp,1
60791,xnet,1
41881,icmp,1
1313,egp,1
25027,dsr,1
5684,egp,1
43916,rdp,1
11671,tcp,1
17155,icmp,1
43669,egp,1
3560,tcp,1
17425,tcp,1
23441,dsr,1
3170,rdp,1
26842,rdp,1
11609,igmp,1
5062,igmp,1
28756,igmp,1
14391,icmp,1
40279,icmp,1
32474,tcp,1
13740,icmp,1
22175,st,1
22379,udp,1
36167,udp,1
60527,rdp,1
59752,icmp,1
8189,st,1
7615,dsr,1
9852,xnet,1
64060,rdp,1
27237,igmp,1
62474,st,1
5988,st,1
33756,egp,1
14746,udp,1
39581,dsr,1
15241,dsr,1
11653,udp,1
26735,tcp,1
31232,st,1
24490,st,1
3048,udp,1
43142,icmp,1
16612,icmp,1
41840,st,1
28880,egp,1
45977,igmp,1
10376,tcp,1
11216,dsr,1
14717,igmp,1
15419,st,1
161,tcp,1
2105,icmp,1
19704,egp,1
14021,igmp,1
13334,igmp,1
34413,tcp,1
19358,rdp,1
21003,icmp,1
285,icmp,1
50536,st,1
63851,xnet,1
44714,rdp,1
40458,icmp,1
7841,st,1
26044,udp,1
38823,tcp,1
1277,rdp,1
19955,xnet,1
13754,tcp,1
23966,udp,1
52905,icmp,1
25264,rdp,1
21722,icmp,1
6017,icmp,1
61582,tcp,1
55392,igmp,1
30636,dsr,1
43780,igmp,1
29170,igmp,1
35191,udp,1
24336,xnet,1
26003,udp,1
16110,tcp,1
21227,udp,1
34480,icmp,1
51520,rdp,1
19219,icmp,1
35181,icmp,1
64367,tcp,1
53279,dsr,1
65106,rdp,1
62543,rdp,1
61437,dsr,1
23450,egp,1
45176,tcp,1
14379,dsr,1
2114,xnet,1
56835,xnet,1
19475,xnet,1
49593,dsr,1
47676,igmp,1
40910,st,1
48587,icmp,1
12950,egp,1
35451,rdp,1
42433,st,1
25104,icmp,1
19312,tcp,1
11997,igmp,1
37140,xnet,1
37425,udp,1
65039,egp,1
39499,st,1
41301,st,1
62860,rdp,1
42208,icmp,1
37146,dsr,1
47432,egp,1
56879,icmp,1
30919,xnet,1
55100,udp,1
12183,egp,1
57740,dsr,1
5602,st,1
17563,icmp,1
33369,icmp,1
21977,tcp,1
56347,tcp,1
51377,xnet,1
30798,st,1
7197,rdp,1
29876,xnet,1
63934,igmp,1
41435,xnet,1
8521,icmp,1
50584,icmp,1
42174,egp,1
23297,udp,1
49276,tcp,1
27275,igmp,1
49244,dsr,1
50477,egp,1
7122,st,1
44274,egp,1
6088,dsr,1
24284,st,1
55092,dsr,1
12574,rdp,1
57618,egp,1
12790,egp,1
51268,igmp,1
5178,egp,1
25778,tcp,1
11663,egp,1
37824,icmp,1
30363,icmp,1
16884,rdp,1
36717,st,1
41958,xnet,1
17817,xnet,1
57241,igmp,1
20838,icmp,1
9217,icmp,1
4780,egp,1
55951,st,1
33139,dsr,1
56931,st,1
41364,egp,1
47689,tcp,1
63149,egp,1
56862,udp,1
55871,st,1
60844,rdp,1
62727,egp,1
57022,udp,1
33210,igmp,1
36813,st,1
18765,dsr,1
62685,icmp,1
11463,egp,1
18855,egp,1
26752,xnet,1
28437,rdp,1
38220,st,1
64706,rdp,1
30361,udp,1
55685,igmp,1
61532,icmp,1
41751,st,1
9235,igmp,1
11837,dsr,1
33202,igmp,1
53299,st,1
51232,xnet,1
3843,icmp,1
34540,xnet,1
64989,rdp,1
35930,st,1
51325,igmp,1
59796,udp,1
36426,st,1
54325,tcp,1
62929,tcp,1
32402,igmp,1
48513,xnet,1
64668,tcp,1
36268,xnet,1
21464,dsr,1
60492,icmp,1
33996,icmp,1
57471,xnet,1
63663,xnet,1
58614,egp,1
